statecd	districtID	attendee_count
AL1	0	239
AL2	1	28
AL3	2	44
AL4	3	27
AL5	4	123
AL6	5	54
AL7	6	148
AK1	7	166
AZ1	8	77
AZ2	9	358
AZ3	10	77
AZ4	11	173
AZ5	12	101
AZ6	13	210
AZ7	14	59
AZ8	15	54
AZ9	16	322
AR1	17	64
AR2	18	100
AR3	19	212
AR4	20	23
CA1	21	444
CA2	22	657
CA3	23	125
CA4	24	197
CA5	25	489
CA6	26	262
CA7	27	165
CA8	28	126
CA9	29	81
CA10	30	150
CA11	31	420
CA12	32	889
CA13	33	828
CA14	34	147
CA15	35	167
CA16	36	104
CA17	37	430
CA18	38	328
CA19	39	32
CA20	40	329
CA21	41	0
CA22	42	65
CA23	43	36
CA24	44	643
CA25	45	177
CA26	46	200
CA27	47	505
CA28	48	615
CA29	49	25
CA30	50	239
CA31	51	55
CA32	52	92
CA33	53	676
CA34	54	462
CA35	55	35
CA36	56	121
CA37	57	379
CA38	58	0
CA39	59	81
CA40	60	45
CA41	61	152
CA42	62	142
CA43	63	40
CA44	64	7
CA45	65	205
CA46	66	56
CA47	67	124
CA48	68	148
CA49	69	119
CA50	70	169
CA51	71	113
CA52	72	200
CA53	73	871
CO1	74	657
CO2	75	836
CO3	76	301
CO4	77	91
CO5	78	316
CO6	79	234
CO7	80	96
CT1	81	246
CT2	82	190
CT3	83	302
CT4	84	108
CT5	85	291
DE1	86	179
FL1	87	18
FL2	88	208
FL3	89	0
FL4	90	27
FL5	91	455
FL6	92	159
FL7	93	66
FL8	94	240
FL9	95	37
FL10	96	357
FL11	97	146
FL12	98	150
FL13	99	60
FL14	100	249
FL15	101	119
FL16	102	204
FL17	103	54
FL18	104	195
FL19	105	121
FL20	106	254
FL21	107	213
FL22	108	211
FL23	109	247
FL24	110	129
FL25	111	6
FL26	112	151
FL27	113	58
GA1	114	86
GA2	115	61
GA3	116	0
GA4	117	0
GA5	118	364
GA6	119	48
GA7	120	30
GA8	121	40
GA9	122	109
GA10	123	96
GA11	124	83
GA12	125	92
GA13	126	114
GA14	127	14
HI1	128	135
HI2	129	296
ID1	130	191
ID2	131	238
IL1	132	50
IL2	133	95
IL3	134	6
IL4	135	300
IL5	136	582
IL6	137	205
IL7	138	335
IL8	139	36
IL9	140	456
IL10	141	200
IL11	142	305
IL12	143	163
IL13	144	507
IL14	145	107
IL15	146	12
IL16	147	285
IL17	148	136
IL18	149	163
IN1	150	127
IN2	151	137
IN3	152	169
IN4	153	54
IN5	154	99
IN6	155	62
IN7	156	150
IN8	157	183
IN9	158	193
IA1	159	120
IA2	160	291
IA3	161	139
IA4	162	89
KS1	163	50
KS2	164	106
KS3	165	112
KS4	166	161
KY1	167	72
KY2	168	18
KY3	169	152
KY4	170	90
KY5	171	17
KY6	172	456
LA1	173	70
LA2	174	224
LA3	175	72
LA4	176	0
LA5	177	5
LA6	178	73
ME1	179	475
ME2	180	216
MD1	181	45
MD2	182	63
MD3	183	202
MD4	184	107
MD5	185	121
MD6	186	151
MD7	187	193
MD8	188	313
MA1	189	230
MA2	190	607
MA3	191	84
MA4	192	367
MA5	193	241
MA6	194	271
MA7	195	389
MA8	196	197
MA9	197	402
MI1	198	333
MI2	199	101
MI3	200	72
MI4	201	112
MI5	202	103
MI6	203	247
MI7	204	26
MI8	205	232
MI9	206	160
MI10	207	122
MI11	208	0
MI12	209	503
MI13	210	367
MI14	211	147
MN1	212	126
MN2	213	84
MN3	214	17
MN4	215	257
MN5	216	604
MN6	217	50
MN7	218	9
MN8	219	133
MS1	220	0
MS2	221	0
MS3	222	121
MS4	223	3
MO1	224	366
MO2	225	20
MO3	226	241
MO4	227	91
MO5	228	489
MO6	229	184
MO7	230	270
MO8	231	105
MT1	232	276
NE1	233	83
NE2	234	148
NE3	235	20
NV1	236	119
NV2	237	163
NV3	238	301
NV4	239	27
NH1	240	379
NH2	241	521
NJ1	242	307
NJ2	243	199
NJ3	244	24
NJ4	245	220
NJ5	246	143
NJ6	247	27
NJ7	248	243
NJ8	249	109
NJ9	250	19
NJ10	251	91
NJ11	252	127
NJ12	253	209
NM1	254	448
NM2	255	192
NM3	256	429
NY1	257	63
NY2	258	129
NY3	259	106
NY4	260	52
NY5	261	26
NY6	262	29
NY7	263	347
NY8	264	116
NY9	265	361
NY10	266	335
NY11	267	62
NY12	268	723
NY13	269	215
NY14	270	14
NY15	271	0
NY16	272	113
NY17	273	111
NY18	274	159
NY19	275	360
NY20	276	428
NY21	277	207
NY22	278	134
NY23	279	234
NY24	280	77
NY25	281	461
NY26	282	145
NY27	283	73
NC1	284	83
NC2	285	39
NC3	286	114
NC4	287	329
NC5	288	127
NC6	289	193
NC7	290	129
NC8	291	10
NC9	292	145
NC10	293	432
NC11	294	205
NC12	295	121
NC13	296	129
ND1	297	186
OH1	298	823
OH2	299	108
OH3	300	506
OH4	301	40
OH5	302	131
OH6	303	22
OH7	304	0
OH8	305	0
OH9	306	88
OH10	307	136
OH11	308	123
OH12	309	74
OH13	310	199
OH14	311	116
OH15	312	108
OH16	313	45
OK1	314	253
OK2	315	103
OK3	316	40
OK4	317	165
OK5	318	85
OR1	319	660
OR2	320	241
OR3	321	941
OR4	322	647
OR5	323	466
PA1	324	217
PA2	325	254
PA3	326	58
PA4	327	49
PA5	328	201
PA6	329	193
PA7	330	76
PA8	331	93
PA9	332	9
PA10	333	59
PA11	334	102
PA12	335	43
PA13	336	94
PA14	337	464
PA15	338	223
PA16	339	165
PA17	340	130
PA18	341	36
RI1	342	169
RI2	343	225
SC1	344	59
SC2	345	84
SC3	346	31
SC4	347	118
SC5	348	20
SC6	349	62
SC7	350	55
SD1	351	207
TN1	352	132
TN2	353	125
TN3	354	82
TN4	355	66
TN5	356	187
TN6	357	41
TN7	358	9
TN8	359	6
TN9	360	123
TX1	361	3
TX2	362	196
TX3	363	106
TX4	364	39
TX5	365	13
TX6	366	0
TX7	367	58
TX8	368	154
TX9	369	30
TX10	370	11
TX11	371	13
TX12	372	243
TX13	373	50
TX14	374	61
TX15	375	0
TX16	376	73
TX17	377	177
TX18	378	64
TX19	379	57
TX20	380	35
TX21	381	526
TX22	382	165
TX23	383	0
TX24	384	30
TX25	385	126
TX26	386	247
TX27	387	81
TX28	388	42
TX29	389	50
TX30	390	56
TX31	391	106
TX32	392	38
TX33	393	80
TX34	394	20
TX35	395	409
TX36	396	0
UT1	397	69
UT2	398	426
UT3	399	85
UT4	400	2
VT1	401	1887
VA1	402	78
VA2	403	222
VA3	404	90
VA4	405	8
VA5	406	220
VA6	407	228
VA7	408	65
VA8	409	313
VA9	410	239
VA10	411	115
VA11	412	305
WA1	413	254
WA2	414	750
WA3	415	321
WA4	416	144
WA5	417	170
WA6	418	572
WA7	419	1368
WA8	420	270
WA9	421	356
WA10	422	494
WV1	423	240
WV2	424	175
WV3	425	351
WI1	426	66
WI2	427	470
WI3	428	325
WI4	429	272
WI5	430	168
WI6	431	18
WI7	432	59
WI8	433	182
WY1	434	120