statecd	districtID	nytID
AL1	0	B001289
AL2	1	R000591
AL3	2	R000575
AL4	3	A000055
AL5	4	B001274
AL6	5	P000609
AL7	6	S001185
AK1	7	Y000033
AZ1	8	K000368
AZ2	9	M001197
AZ3	10	G000551
AZ4	11	G000565
AZ5	12	S000018
AZ6	13	S001183
AZ7	14	G000574
AZ8	15	F000448
AZ9	16	S001191
AR1	17	C001087
AR2	18	H001072
AR3	19	W000809
AR4	20	W000821
CA1	21	L000578
CA2	22	H001068
CA3	23	G000559
CA4	24	M001177
CA5	25	T000460
CA6	26	M001163
CA7	27	B001287
CA8	28	C001094
CA9	29	M001166
CA10	30	D000612
CA11	31	D000623
CA12	32	P000197
CA13	33	L000551
CA14	34	S001175
CA15	35	S001193
CA16	36	C001059
CA17	37	H001034
CA18	38	E000215
CA19	39	L000397
CA20	40	F000030
CA21	41	V000129
CA22	42	N000181
CA23	43	M001165
CA24	44	C001036
CA25	45	K000387
CA26	46	B001285
CA27	47	C001080
CA28	48	S001150
CA29	49	C001097
CA30	50	S000344
CA31	51	A000371
CA32	52	N000179
CA33	53	L000582
CA34	54	B000287
CA35	55	T000474
CA36	56	R000599
CA37	57	B001270
CA38	58	S001156
CA39	59	R000487
CA40	60	R000486
CA41	61	T000472
CA42	62	C000059
CA43	63	W000187
CA44	64	H001063
CA45	65	W000820
CA46	66	S000030
CA47	67	L000579
CA48	68	R000409
CA49	69	I000056
CA50	70	H001048
CA51	71	V000130
CA52	72	P000608
CA53	73	D000598
CO1	74	D000197
CO2	75	P000598
CO3	76	T000470
CO4	77	B001297
CO5	78	L000564
CO6	79	C001077
CO7	80	P000593
CT1	81	L000557
CT2	82	C001069
CT3	83	D000216
CT4	84	H001047
CT5	85	E000293
DE1	86	C001083
FL1	87	M001144
FL2	88	G000575
FL3	89	Y000065
FL4	90	C001045
FL5	91	B000911
FL6	92	D000621
FL7	93	M000689
FL8	94	P000599
FL9	95	G000556
FL10	96	W000806
FL11	97	N000185
FL12	98	B001257
FL13	99	J000296
FL14	100	C001066
FL15	101	R000593
FL16	102	B001260
FL17	103	R000583
FL18	104	M001191
FL19	105	C001102
FL20	106	H000324
FL21	107	D000610
FL22	108	F000462
FL23	109	W000797
FL24	110	W000808
FL25	111	D000600
FL26	112	C001107
FL27	113	R000435
GA1	114	C001103
GA2	115	B000490
GA3	116	W000796
GA4	117	J000288
GA5	118	L000287
GA6	119	P000591
GA7	120	W000810
GA8	121	S001189
GA9	122	C001093
GA10	123	H001071
GA11	124	L000583
GA12	125	A000372
GA13	126	S001157
GA14	127	G000560
HI1	128	T000473
HI2	129	G000571
ID1	130	L000573
ID2	131	S001148
IL1	132	R000515
IL2	133	K000385
IL3	134	L000563
IL4	135	G000535
IL5	136	Q000023
IL6	137	R000580
IL7	138	D000096
IL8	139	D000622
IL9	140	S001145
IL10	141	D000613
IL11	142	F000454
IL12	143	B001295
IL13	144	D000619
IL14	145	H001059
IL15	146	S000364
IL16	147	K000378
IL17	148	B001286
IL18	149	S001179
IN1	150	V000108
IN2	151	W000813
IN3	152	S001188
IN4	153	R000592
IN5	154	B001284
IN6	155	M001189
IN7	156	C001072
IN8	157	B001275
IN9	158	Y000064
IA1	159	B001294
IA2	160	L000565
IA3	161	Y000066
IA4	162	K000362
KS1	163	H001057
KS2	164	J000290
KS3	165	Y000063
KS4	166	P000602
KY1	167	W000413
KY2	168	G000558
KY3	169	Y000062
KY4	170	M001184
KY5	171	R000395
KY6	172	B001282
LA1	173	S001176
LA2	174	R000588
LA3	175	B001255
LA4	176	F000456
LA5	177	A000374
LA6	178	G000577
ME1	179	P000597
ME2	180	P000611
MD1	181	H001052
MD2	182	R000576
MD3	183	S001168
MD4	184	E000290
MD5	185	H000874
MD6	186	D000620
MD7	187	C000984
MD8	188	V000128
MA1	189	N000015
MA2	190	M000312
MA3	191	T000465
MA4	192	K000379
MA5	193	C001101
MA6	194	M001196
MA7	195	C001037
MA8	196	L000562
MA9	197	K000375
MI1	198	B001271
MI2	199	H001058
MI3	200	A000367
MI4	201	M001194
MI5	202	K000380
MI6	203	U000031
MI7	204	W000798
MI8	205	B001293
MI9	206	L000263
MI10	207	M001150
MI11	208	T000475
MI12	209	D000624
MI13	210	C000714
MI14	211	L000581
MN1	212	W000799
MN2	213	K000363
MN3	214	P000594
MN4	215	M001143
MN5	216	E000288
MN6	217	E000294
MN7	218	P000258
MN8	219	N000127
MS1	220	K000388
MS2	221	T000193
MS3	222	H001045
MS4	223	P000601
MO1	224	C001049
MO2	225	W000812
MO3	226	L000569
MO4	227	H001053
MO5	228	C001061
MO6	229	G000546
MO7	230	L000576
MO8	231	S001195
MT1	232	Z000018
NE1	233	F000449
NE2	234	A000373
NE3	235	S001172
NV1	236	T000468
NV2	237	A000369
NV3	238	H001055
NV4	239	H001070
NH1	240	G000570
NH2	241	K000382
NJ1	242	N000188
NJ2	243	L000554
NJ3	244	M001193
NJ4	245	S000522
NJ5	246	G000548
NJ6	247	P000034
NJ7	248	L000567
NJ8	249	S001165
NJ9	250	P000096
NJ10	251	P000604
NJ11	252	F000372
NJ12	253	W000822
NM1	254	L000580
NM2	255	P000588
NM3	256	L000570
NY1	257	Z000017
NY2	258	K000210
NY3	259	I000057
NY4	260	R000602
NY5	261	M001137
NY6	262	M001188
NY7	263	V000081
NY8	264	J000294
NY9	265	C001067
NY10	266	N000002
NY11	267	D000625
NY12	268	M000087
NY13	269	R000053
NY14	270	C001038
NY15	271	S000248
NY16	272	E000179
NY17	273	L000480
NY18	274	M001185
NY19	275	G000564
NY20	276	T000469
NY21	277	S001196
NY22	278	H001051
NY23	279	R000585
NY24	280	K000386
NY25	281	S000480
NY26	282	H001038
NY27	283	C001092
NC1	284	B001251
NC2	285	E000291
NC3	286	J000255
NC4	287	P000523
NC5	288	F000450
NC6	289	W000819
NC7	290	R000603
NC8	291	H001067
NC9	292	P000606
NC10	293	M001156
NC11	294	M001187
NC12	295	A000370
NC13	296	H001065
ND1	297	C001096
OH1	298	C000266
OH2	299	W000815
OH3	300	B001281
OH4	301	J000289
OH5	302	L000566
OH6	303	J000292
OH7	304	G000563
OH8	305	B000589
OH9	306	K000009
OH10	307	T000463
OH11	308	F000455
OH12	309	T000462
OH13	310	R000577
OH14	311	J000295
OH15	312	S001187
OH16	313	R000586
OK1	314	B001283
OK2	315	M001190
OK3	316	L000491
OK4	317	C001053
OK5	318	R000604
OR1	319	B001278
OR2	320	W000791
OR3	321	B000574
OR4	322	D000191
OR5	323	S001180
PA1	324	B001227
PA2	325	F000043
PA3	326	K000376
PA4	327	P000605
PA5	328	T000467
PA6	329	C001106
PA7	330	M001181
PA8	331	F000451
PA9	332	S001154
PA10	333	M001179
PA11	334	B001269
PA12	335	R000598
PA13	336	B001296
PA14	337	D000482
PA15	338	D000604
PA16	339	P000373
PA17	340	C001090
PA18	341	M001151
RI1	342	C001084
RI2	343	L000559
SC1	344	S000051
SC2	345	W000795
SC3	346	D000615
SC4	347	G000566
SC5	348	M001182
SC6	349	C000537
SC7	350	R000597
SD1	351	N000184
TN1	352	R000582
TN2	353	D000533
TN3	354	F000459
TN4	355	D000616
TN5	356	C000754
TN6	357	B001273
TN7	358	B001243
TN8	359	F000458
TN9	360	C001068
TX1	361	G000552
TX2	362	P000592
TX3	363	J000174
TX4	364	R000601
TX5	365	H001036
TX6	366	B000213
TX7	367	C001048
TX8	368	B000755
TX9	369	G000553
TX10	370	M001157
TX11	371	C001062
TX12	372	G000377
TX13	373	T000238
TX14	374	W000814
TX15	375	H000636
TX16	376	O000170
TX17	377	F000461
TX18	378	J000032
TX19	379	N000182
TX20	380	C001091
TX21	381	S000583
TX22	382	O000168
TX23	383	H001073
TX24	384	M001158
TX25	385	W000816
TX26	386	B001248
TX27	387	F000460
TX28	388	C001063
TX29	389	G000410
TX30	390	J000126
TX31	391	C001051
TX32	392	S000250
TX33	393	V000131
TX34	394	V000132
TX35	395	D000399
TX36	396	B001291
UT1	397	B001250
UT2	398	S001192
UT3	399	C001076
UT4	400	L000584
VT1	401	W000800
VA1	402	W000804
VA2	403	R000589
VA3	404	S000185
VA4	405	F000445
VA5	406	H001060
VA6	407	G000289
VA7	408	B001290
VA8	409	B001292
VA9	410	G000568
VA10	411	C001105
VA11	412	C001078
WA1	413	D000617
WA2	414	L000560
WA3	415	H001056
WA4	416	N000189
WA5	417	M001159
WA6	418	K000381
WA7	419	M000404
WA8	420	R000578
WA9	421	S000510
WA10	422	H001064
WV1	423	M001180
WV2	424	M001195
WV3	425	J000297
WI1	426	R000570
WI2	427	P000607
WI3	428	K000188
WI4	429	M001160
WI5	430	S000244
WI6	431	G000576
WI7	432	D000614
WI8	433	R000587
WY1	434	L000571