statecd	districtID	nytID	party
AL1	0	B001289	R
AL2	1	R000591	R
AL3	2	R000575	R
AL4	3	A000055	R
AL5	4	B001274	R
AL6	5	P000609	R
AL7	6	S001185	D
AK1	7	Y000033	R
AZ1	8	K000368	D
AZ2	9	M001197	R
AZ3	10	G000551	D
AZ4	11	G000565	R
AZ5	12	S000018	R
AZ6	13	S001183	R
AZ7	14	G000574	D
AZ8	15	F000448	R
AZ9	16	S001191	D
AR1	17	C001087	R
AR2	18	H001072	R
AR3	19	W000809	R
AR4	20	W000821	R
CA1	21	L000578	R
CA2	22	H001068	D
CA3	23	G000559	D
CA4	24	M001177	R
CA5	25	T000460	D
CA6	26	M001163	D
CA7	27	B001287	D
CA8	28	C001094	R
CA9	29	M001166	D
CA10	30	D000612	R
CA11	31	D000623	D
CA12	32	P000197	D
CA13	33	L000551	D
CA14	34	S001175	D
CA15	35	S001193	D
CA16	36	C001059	D
CA17	37	H001034	D
CA18	38	E000215	D
CA19	39	L000397	D
CA20	40	F000030	D
CA21	41	V000129	R
CA22	42	N000181	R
CA23	43	M001165	R
CA24	44	C001036	D
CA25	45	K000387	R
CA26	46	B001285	D
CA27	47	C001080	D
CA28	48	S001150	D
CA29	49	C001097	D
CA30	50	S000344	D
CA31	51	A000371	D
CA32	52	N000179	D
CA33	53	L000582	D
CA34	54	B000287	D
CA35	55	T000474	D
CA36	56	R000599	D
CA37	57	B001270	D
CA38	58	S001156	D
CA39	59	R000487	R
CA40	60	R000486	D
CA41	61	T000472	D
CA42	62	C000059	R
CA43	63	W000187	D
CA44	64	H001063	D
CA45	65	W000820	R
CA46	66	S000030	D
CA47	67	L000579	D
CA48	68	R000409	R
CA49	69	I000056	R
CA50	70	H001048	R
CA51	71	V000130	D
CA52	72	P000608	D
CA53	73	D000598	D
CO1	74	D000197	D
CO2	75	P000598	D
CO3	76	T000470	R
CO4	77	B001297	R
CO5	78	L000564	R
CO6	79	C001077	R
CO7	80	P000593	D
CT1	81	L000557	D
CT2	82	C001069	D
CT3	83	D000216	D
CT4	84	H001047	D
CT5	85	E000293	D
DE1	86	C001083	D
FL1	87	M001144	R
FL2	88	G000575	D
FL3	89	Y000065	R
FL4	90	C001045	R
FL5	91	B000911	D
FL6	92	D000621	R
FL7	93	M000689	R
FL8	94	P000599	R
FL9	95	G000556	D
FL10	96	W000806	R
FL11	97	N000185	R
FL12	98	B001257	R
FL13	99	J000296	R
FL14	100	C001066	D
FL15	101	R000593	R
FL16	102	B001260	R
FL17	103	R000583	R
FL18	104	M001191	D
FL19	105	C001102	R
FL20	106	H000324	D
FL21	107	D000610	D
FL22	108	F000462	D
FL23	109	W000797	D
FL24	110	W000808	D
FL25	111	D000600	R
FL26	112	C001107	R
FL27	113	R000435	R
GA1	114	C001103	R
GA2	115	B000490	D
GA3	116	W000796	R
GA4	117	J000288	D
GA5	118	L000287	D
GA6	119	P000591	R
GA7	120	W000810	R
GA8	121	S001189	R
GA9	122	C001093	R
GA10	123	H001071	R
GA11	124	L000583	R
GA12	125	A000372	R
GA13	126	S001157	D
GA14	127	G000560	R
HI1	128	T000473	D
HI2	129	G000571	D
ID1	130	L000573	R
ID2	131	S001148	R
IL1	132	R000515	D
IL2	133	K000385	D
IL3	134	L000563	D
IL4	135	G000535	D
IL5	136	Q000023	D
IL6	137	R000580	R
IL7	138	D000096	D
IL8	139	D000622	D
IL9	140	S001145	D
IL10	141	D000613	R
IL11	142	F000454	D
IL12	143	B001295	R
IL13	144	D000619	R
IL14	145	H001059	R
IL15	146	S000364	R
IL16	147	K000378	R
IL17	148	B001286	D
IL18	149	S001179	R
IN1	150	V000108	D
IN2	151	W000813	R
IN3	152	S001188	R
IN4	153	R000592	R
IN5	154	B001284	R
IN6	155	M001189	R
IN7	156	C001072	D
IN8	157	B001275	R
IN9	158	Y000064	R
IA1	159	B001294	R
IA2	160	L000565	D
IA3	161	Y000066	R
IA4	162	K000362	R
KS1	163	H001057	R
KS2	164	J000290	R
KS3	165	Y000063	R
KS4	166	P000602	R
KY1	167	W000413	R
KY2	168	G000558	R
KY3	169	Y000062	D
KY4	170	M001184	R
KY5	171	R000395	R
KY6	172	B001282	R
LA1	173	S001176	R
LA2	174	R000588	D
LA3	175	B001255	R
LA4	176	F000456	R
LA5	177	A000374	R
LA6	178	G000577	R
ME1	179	P000597	D
ME2	180	P000611	R
MD1	181	H001052	R
MD2	182	R000576	D
MD3	183	S001168	D
MD4	184	E000290	D
MD5	185	H000874	D
MD6	186	D000620	D
MD7	187	C000984	D
MD8	188	V000128	D
MA1	189	N000015	D
MA2	190	M000312	D
MA3	191	T000465	D
MA4	192	K000379	D
MA5	193	C001101	D
MA6	194	M001196	D
MA7	195	C001037	D
MA8	196	L000562	D
MA9	197	K000375	D
MI1	198	B001271	R
MI2	199	H001058	R
MI3	200	A000367	R
MI4	201	M001194	R
MI5	202	K000380	D
MI6	203	U000031	R
MI7	204	W000798	R
MI8	205	B001293	R
MI9	206	L000263	D
MI10	207	M001150	R
MI11	208	T000475	R
MI12	209	D000624	D
MI13	210	C000714	D
MI14	211	L000581	D
MN1	212	W000799	D
MN2	213	K000363	R
MN3	214	P000594	R
MN4	215	M001143	D
MN5	216	E000288	D
MN6	217	E000294	R
MN7	218	P000258	D
MN8	219	N000127	D
MS1	220	K000388	R
MS2	221	T000193	D
MS3	222	H001045	R
MS4	223	P000601	R
MO1	224	C001049	D
MO2	225	W000812	R
MO3	226	L000569	R
MO4	227	H001053	R
MO5	228	C001061	D
MO6	229	G000546	R
MO7	230	L000576	R
MO8	231	S001195	R
MT1	232	Z000018	R
NE1	233	F000449	R
NE2	234	A000373	D
NE3	235	S001172	R
NV1	236	T000468	D
NV2	237	A000369	R
NV3	238	H001055	R
NV4	239	H001070	R
NH1	240	G000570	R
NH2	241	K000382	D
NJ1	242	N000188	D
NJ2	243	L000554	R
NJ3	244	M001193	R
NJ4	245	S000522	R
NJ5	246	G000548	R
NJ6	247	P000034	D
NJ7	248	L000567	R
NJ8	249	S001165	D
NJ9	250	P000096	D
NJ10	251	P000604	D
NJ11	252	F000372	R
NJ12	253	W000822	D
NM1	254	L000580	D
NM2	255	P000588	R
NM3	256	L000570	D
NY1	257	Z000017	R
NY2	258	K000210	R
NY3	259	I000057	D
NY4	260	R000602	D
NY5	261	M001137	D
NY6	262	M001188	D
NY7	263	V000081	D
NY8	264	J000294	D
NY9	265	C001067	D
NY10	266	N000002	D
NY11	267	D000625	R
NY12	268	M000087	D
NY13	269	R000053	D
NY14	270	C001038	D
NY15	271	S000248	D
NY16	272	E000179	D
NY17	273	L000480	D
NY18	274	M001185	D
NY19	275	G000564	R
NY20	276	T000469	D
NY21	277	S001196	R
NY22	278	H001051	R
NY23	279	R000585	R
NY24	280	K000386	R
NY25	281	S000480	D
NY26	282	H001038	D
NY27	283	C001092	R
NC1	284	B001251	D
NC2	285	E000291	R
NC3	286	J000255	R
NC4	287	P000523	D
NC5	288	F000450	R
NC6	289	W000819	R
NC7	290	R000603	R
NC8	291	H001067	R
NC9	292	P000606	R
NC10	293	M001156	R
NC11	294	M001187	R
NC12	295	A000370	D
NC13	296	H001065	R
ND1	297	C001096	R
OH1	298	C000266	R
OH2	299	W000815	R
OH3	300	B001281	D
OH4	301	J000289	R
OH5	302	L000566	R
OH6	303	J000292	R
OH7	304	G000563	R
OH8	305	B000589	R
OH9	306	K000009	D
OH10	307	T000463	R
OH11	308	F000455	D
OH12	309	T000462	R
OH13	310	R000577	D
OH14	311	J000295	R
OH15	312	S001187	R
OH16	313	R000586	R
OK1	314	B001283	R
OK2	315	M001190	R
OK3	316	L000491	R
OK4	317	C001053	R
OK5	318	R000604	R
OR1	319	B001278	D
OR2	320	W000791	R
OR3	321	B000574	D
OR4	322	D000191	D
OR5	323	S001180	D
PA1	324	B001227	D
PA2	325	F000043	D
PA3	326	K000376	R
PA4	327	P000605	R
PA5	328	T000467	R
PA6	329	C001106	R
PA7	330	M001181	R
PA8	331	F000451	R
PA9	332	S001154	R
PA10	333	M001179	R
PA11	334	B001269	R
PA12	335	R000598	R
PA13	336	B001296	D
PA14	337	D000482	D
PA15	338	D000604	R
PA16	339	P000373	R
PA17	340	C001090	D
PA18	341	M001151	R
RI1	342	C001084	D
RI2	343	L000559	D
SC1	344	S000051	R
SC2	345	W000795	R
SC3	346	D000615	R
SC4	347	G000566	R
SC5	348	M001182	R
SC6	349	C000537	D
SC7	350	R000597	R
SD1	351	N000184	R
TN1	352	R000582	R
TN2	353	D000533	R
TN3	354	F000459	R
TN4	355	D000616	R
TN5	356	C000754	D
TN6	357	B001273	R
TN7	358	B001243	R
TN8	359	F000458	R
TN9	360	C001068	D
TX1	361	G000552	R
TX2	362	P000592	R
TX3	363	J000174	R
TX4	364	R000601	R
TX5	365	H001036	R
TX6	366	B000213	R
TX7	367	C001048	R
TX8	368	B000755	R
TX9	369	G000553	D
TX10	370	M001157	R
TX11	371	C001062	R
TX12	372	G000377	R
TX13	373	T000238	R
TX14	374	W000814	R
TX15	375	H000636	D
TX16	376	O000170	D
TX17	377	F000461	R
TX18	378	J000032	D
TX19	379	N000182	R
TX20	380	C001091	D
TX21	381	S000583	R
TX22	382	O000168	R
TX23	383	H001073	R
TX24	384	M001158	R
TX25	385	W000816	R
TX26	386	B001248	R
TX27	387	F000460	R
TX28	388	C001063	D
TX29	389	G000410	D
TX30	390	J000126	D
TX31	391	C001051	R
TX32	392	S000250	R
TX33	393	V000131	D
TX34	394	V000132	D
TX35	395	D000399	D
TX36	396	B001291	R
UT1	397	B001250	R
UT2	398	S001192	R
UT3	399	C001076	R
UT4	400	L000584	R
VT1	401	W000800	D
VA1	402	W000804	R
VA2	403	R000589	R
VA3	404	S000185	D
VA4	405	F000445	R
VA5	406	H001060	R
VA6	407	G000289	R
VA7	408	B001290	R
VA8	409	B001292	D
VA9	410	G000568	R
VA10	411	C001105	R
VA11	412	C001078	D
WA1	413	D000617	D
WA2	414	L000560	D
WA3	415	H001056	R
WA4	416	N000189	R
WA5	417	M001159	R
WA6	418	K000381	D
WA7	419	M000404	D
WA8	420	R000578	R
WA9	421	S000510	D
WA10	422	H001064	D
WV1	423	M001180	R
WV2	424	M001195	R
WV3	425	J000297	R
WI1	426	R000570	R
WI2	427	P000607	D
WI3	428	K000188	D
WI4	429	M001160	D
WI5	430	S000244	R
WI6	431	G000576	R
WI7	432	D000614	R
WI8	433	R000587	R
WY1	434	L000571	R