statecd,districtID,ClintonDelegates,SandersDelegates,DifferenceDelegates,ClintonVotes,SandersVotes,ClintonPreportion,SandersPreportion,DifferenceVotes,DifferencePreportionVotes
AL1,0,4,1,3,"40,895","9,437",81.3%,18.7%,31458,0.625009934
AL2,1,4,1,3,"41,130","7,666",84.3%,15.7%,33464,0.6857939175
AL3,2,4,1,3,"39,720","8,835",81.8%,18.2%,30885,0.6360827927
AL4,3,3,1,2,"20,975","8,318",71.6%,28.4%,12657,0.4320827501
AL5,4,3,1,2,"32,095","13,507",70.4%,29.6%,18588,0.4076137012
AL6,5,2,1,1,"27,397","12,098",69.4%,30.6%,15299,0.3873654893
AL7,6,9,0,9,"107,720","16,542",86.7%,13.3%,91178,0.733756096
AK0,7,2,8,-6,100,441,18.5%,81.5%,-341,-0.6303142329
AZ1,8,3,3,0,"26,267","35,445",42.6%,57.4%,-9178,-0.1487231009
AZ2,9,4,4,0,"33,891","42,797",44.2%,55.8%,-8906,-0.1161329021
AZ3,10,3,2,1,"20,091","30,298",39.9%,60.1%,-10207,-0.2025640517
AZ4,11,2,2,0,"15,289","20,662",42.5%,57.5%,-5373,-0.1494534227
AZ5,12,3,2,1,"16,982","22,973",42.5%,57.5%,-5991,-0.1499436866
AZ6,13,4,2,2,"20,259","29,266",40.9%,59.1%,-9007,-0.1818677436
AZ7,14,3,2,1,"17,173","24,245",41.5%,58.5%,-7072,-0.1707470182
AZ8,15,3,2,1,"17,651","27,672",38.9%,61.1%,-10021,-0.2211018688
AZ9,16,3,3,0,"25,359","29,101",46.6%,53.4%,-3742,-0.06871098054
AR1,17,4,1,3,"34,358","13,155",72.3%,27.7%,21203,0.4462568139
AR2,18,4,2,2,"48,495","17,766",73.2%,26.8%,30729,0.4637569611
AR3,19,2,2,0,"21,087","17,288",54.9%,45.1%,3799,0.09899674267
AR4,20,4,2,2,"38,858","15,749",71.2%,28.8%,23109,0.4231875034
CA1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA9,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA11,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA12,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA13,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA14,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA15,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA16,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA17,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA18,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA21,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA22,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA23,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA24,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA25,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA26,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA27,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA28,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA29,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA31,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA32,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA33,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA34,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA35,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA36,56,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA37,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA38,58,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA39,59,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA41,61,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA42,62,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA43,63,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA44,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA45,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA46,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA47,67,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA48,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA49,69,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA50,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA51,71,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA52,72,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA53,73,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO1,74,4,4,0,"13,242","16,232",44.9%,55.1%,-2990,-0.1014453417
CO2,75,3,4,-1,"11,248","19,376",36.7%,63.3%,-8128,-0.2654127482
CO3,76,2,4,-2,"5,715","8,956",39%,61%,-3241,-0.2209120033
CO4,77,2,3,-1,"3,945","6,115",39.2%,60.8%,-2170,-0.2157057654
CO5,78,2,3,-1,"3,977","6,338",38.6%,61.4%,-2361,-0.2288899661
CO6,79,3,3,0,"6,161","6,675",48%,52%,-514,-0.0400436273
CO7,80,2,4,-2,"5,501","9,154",37.5%,62.5%,-3653,-0.249266462
CT1,81,4,4,0,"37,443","32,069",53.9%,46.1%,5374,0.07731039245
CT2,82,3,4,-1,"27,417","36,020",43.2%,56.8%,-8603,-0.135614862
CT3,83,4,3,1,"31,606","30,054",51.3%,48.7%,1552,0.02517028868
CT4,84,4,3,1,"27,129","16,751",61.8%,38.2%,10378,0.23650866
CT5,85,3,4,-1,"26,695","27,037",49.7%,50.3%,-342,-0.006364922207
DE0,86,12,9,3,"55,954","36,662",60.4%,39.6%,19292,0.2083009415
FL1,87,2,1,1,"26,978","18,483",59.3%,40.7%,8495,0.1868634654
FL2,88,4,2,2,"50,185","34,057",59.6%,40.4%,16128,0.1914484461
FL3,89,2,2,0,"32,066","27,969",53.4%,46.6%,4097,0.06824352461
FL4,90,2,2,0,"33,910","22,752",59.8%,40.2%,11158,0.1969220995
FL5,91,4,2,2,"55,836","18,629",75%,25%,37207,0.4996575572
FL6,92,3,2,1,"37,982","24,437",60.9%,39.1%,13545,0.2170012336
FL7,93,3,2,1,"37,397","26,788",58.3%,41.7%,10609,0.1652878398
FL8,94,3,2,1,"39,368","24,369",61.8%,38.2%,14999,0.2353264195
FL9,95,3,2,1,"40,598","19,874",67.1%,32.9%,20724,0.3427040614
FL10,96,3,2,1,"38,004","22,203",63.1%,36.9%,15801,0.2624445662
FL11,97,3,2,1,"38,059","21,587",63.8%,36.2%,16472,0.2761626932
FL12,98,3,2,1,"35,494","23,169",60.5%,39.5%,12325,0.2100983584
FL13,99,4,2,2,"44,117","29,702",59.8%,40.2%,14415,0.1952749292
FL14,100,4,2,2,"49,140","23,608",67.5%,32.5%,25532,0.350964975
FL15,101,3,2,1,"32,791","20,707",61.3%,38.7%,12084,0.2258776029
FL16,102,4,2,2,"43,914","25,850",62.9%,37.1%,18064,0.2589301072
FL17,103,3,1,2,"29,894","17,039",63.7%,36.3%,12855,0.273901093
FL18,104,4,2,2,"42,794","20,614",67.5%,32.5%,22180,0.3497981327
FL19,105,3,1,2,"31,950","17,229",65%,35%,14721,0.299335082
FL20,106,6,1,5,"61,995","15,754",79.7%,20.3%,46241,0.5947471993
FL21,107,5,2,3,"57,715","22,098",72.3%,27.7%,35617,0.4462556225
FL22,108,4,2,2,"49,599","22,201",69.1%,30.9%,27398,0.3815877437
FL23,109,4,2,2,"44,500","19,971",69%,31%,24529,0.3804656357
FL24,110,6,2,4,"59,266","13,891",81%,19%,45375,0.6202413986
FL25,111,2,1,1,"24,874","9,272",72.8%,27.2%,15602,0.4569202835
FL26,112,3,1,2,"32,042","14,127",69.4%,30.6%,17915,0.3880309298
FL27,113,3,1,2,"30,707","12,254",71.5%,28.5%,18453,0.4295291078
GA1,114,4,1,3,"32,408","12,343",72.4%,27.6%,20065,0.4483698688
GA2,115,4,1,3,"48,705","8,817",84.7%,15.3%,39888,0.693439032
GA3,116,3,1,2,"30,311","11,691",72.2%,27.8%,18620,0.4433122232
GA4,117,5,1,4,"73,739","23,827",75.6%,24.4%,49912,0.5115716541
GA5,118,5,2,3,"81,636","32,474",71.5%,28.5%,49162,0.430829901
GA6,119,3,2,1,"34,287","22,632",60.2%,39.8%,11655,0.2047646656
GA7,120,3,1,2,"27,483","15,461",64%,36%,12022,0.2799459762
GA8,121,3,1,2,"27,632","8,539",76.4%,23.6%,19093,0.5278538055
GA9,122,2,2,0,"14,263","9,727",59.5%,40.5%,4536,0.1890787828
GA10,123,3,1,2,"33,303","15,274",68.6%,31.4%,18029,0.3711427219
GA11,124,2,2,0,"26,137","17,511",59.9%,40.1%,8626,0.1976264663
GA12,125,4,1,3,"33,308","9,361",78.1%,21.9%,23947,0.5612271204
GA13,126,5,1,4,"68,652","19,128",78.2%,21.8%,49524,0.5641831852
GA14,127,2,2,0,"13,810","9,012",60.5%,39.5%,4798,0.2102357374
HI1,128,3,5,-2,"5,001","8,086",38.2%,61.8%,-3085,-0.2357301139
HI2,129,2,6,-4,"5,126","15,445",24.9%,75.1%,-10319,-0.5016285061
ID1,130,2,6,-4,"2,322","8,461",21.5%,78.5%,-6139,-0.5693220811
ID2,131,1,6,-5,"2,749","10,193",21.2%,78.8%,-7444,-0.5751815794
IL1,132,5,4,1,"92,740",63400,59.4%,40.6%,29340,0.1879082874
IL2,133,5,3,2,"97,697",60359,61.8%,38.2%,37338,0.2362327276
IL3,134,2,3,-1,"31,575",37834,45.5%,54.5%,-6259,-0.09017562564
IL4,135,2,3,-1,"13,584",16380,45.3%,54.7%,-2796,-0.09331197437
IL5,136,3,3,0,"13,329",13076,50.5%,49.5%,253,0.009581518652
IL6,137,2,3,-1,"43,287",48880,47%,53%,-5593,-0.06068332483
IL7,138,5,4,1,"27,686",20389,57.6%,42.4%,7297,0.1517836713
IL8,139,2,2,0,"40,374",45031,47.3%,52.7%,-4657,-0.05452842339
IL9,140,4,3,1,"49,949",42113,54.3%,45.7%,7836,0.08511655189
IL10,141,3,2,1,"55,379",44644,55.4%,44.6%,10735,0.1073253152
IL11,142,2,3,-1,"42,793",46643,47.8%,52.2%,-3850,-0.04304754238
IL12,143,3,3,0,"43,350",42386,50.6%,49.4%,964,0.01124381823
IL13,144,2,3,-1,"32,020",47024,40.5%,59.5%,-15004,-0.189818329
IL14,145,2,2,0,"30,865",42478,42.1%,57.9%,-11613,-0.1583382191
IL15,146,2,2,0,"23,446",28271,45.3%,54.7%,-4825,-0.09329620821
IL16,147,2,3,-1,"19,434",28918,40.2%,59.8%,-9484,-0.1961449371
IL17,148,3,3,0,"34,425",32977,51.1%,48.9%,1448,0.02148304205
IL18,149,2,2,0,"23,969",28608,45.6%,54.4%,-4639,-0.0882324971
IN1,150,4,4,0,"56,124","50,077",52.8%,47.2%,6047,0.0569392002
IN2,151,3,3,0,"28,093","34,526",44.9%,55.1%,-6433,-0.1027323975
IN3,152,2,3,-1,"23,851","26,964",46.9%,53.1%,-3113,-0.06126143855
IN4,153,2,3,-1,"19,126","27,645",40.9%,59.1%,-8519,-0.1821427808
IN5,154,3,4,-1,"39,458","42,082",48.4%,51.6%,-2624,-0.0321805249
IN6,155,2,3,-1,"24,577","28,506",46.3%,53.7%,-3929,-0.07401616337
IN7,156,4,4,0,"43,229","42,804",50.2%,49.8%,425,0.004939964897
IN8,157,3,3,0,"32,113","37,435",46.2%,53.8%,-5322,-0.07652268937
IN9,158,3,3,0,"30,375","38,934",43.8%,56.2%,-8559,-0.1234904558
IA1,159,4,4,0,"19,029","19,596",49.3%,50.7%,-567,-0.01467961165
IA2,160,4,4,0,"17,635","19,328",47.7%,52.3%,-1693,-0.04580255932
IA3,161,4,3,1,"18,829","16,296",53.6%,46.4%,2533,0.072113879
IA4,162,3,3,0,"14,240","14,232",50%,50%,8,0.0002809778028
KS1,163,1,3,-2,"1,833","4,074",31%,69%,-2241,-0.3793803961
KS2,164,2,5,-3,"3,225","8,117",28.4%,71.6%,-4892,-0.431317228
KS3,165,2,4,-2,"4,689","7,671",37.9%,62.1%,-2982,-0.2412621359
KS4,166,1,4,-3,"2,846","6,775",29.6%,70.4%,-3929,-0.4083775075
KY1,167,2,3,-1,"29,189","34,871",45.6%,54.4%,-5682,-0.08869809554
KY2,168,3,3,0,"31,368","33,803",48.1%,51.9%,-2435,-0.03736324439
KY3,169,5,4,1,"60,943","43,288",58.5%,41.5%,17655,0.1693833888
KY4,170,3,3,0,"26,053","25,923",50.1%,49.9%,130,0.002501154379
KY5,171,2,2,0,"19,071","28,383",40.2%,59.8%,-9312,-0.1962321406
KY6,172,4,3,1,"43,670","43,155",50.3%,49.7%,515,0.00593147135
LA1,173,2,2,0,"20,695","13,000",61.4%,38.6%,7695,0.228372162
LA2,174,6,2,4,"76,696","18,171",80.8%,19.2%,58525,0.6169163144
LA3,175,3,2,1,"22,372","10,501",68.1%,31.9%,11871,0.3611170261
LA4,176,4,1,3,"34,636","9,598",78.3%,21.7%,25038,0.5660351766
LA5,177,5,1,4,"33,671","8,700",79.5%,20.5%,24971,0.5893417668
LA6,178,4,1,3,"33,546","12,271",73.2%,26.8%,21275,0.4643472947
ME1,179,4,6,-2,691,"1,230",36%,64%,-539,-0.2805830297
ME2,180,2,5,-3,522,977,34.8%,65.2%,-455,-0.3035356905
MD1,181,3,3,0,"36,609","29,676",55.2%,44.8%,6933,0.1045937995
MD2,182,4,3,1,"63,192","39,319",61.6%,38.4%,23873,0.2328823248
MD3,183,5,3,2,"73,321","48,126",60.4%,39.6%,25195,0.2074567507
MD4,184,7,3,4,"85,418","31,345",73.2%,26.8%,54073,0.4631004685
MD5,185,6,3,3,"77,572","35,321",68.7%,31.3%,42251,0.3742570399
MD6,186,4,3,1,"52,623","34,176",60.6%,39.4%,18447,0.2125254899
MD7,187,6,3,3,"97,727","46,891",67.6%,32.4%,50836,0.3515191747
MD8,188,5,3,2,"86,596","45,051",65.8%,34.2%,41545,0.3155787827
MA1,189,3,3,0,"54,015","59,021",47.8%,52.2%,-5006,-0.04428677589
MA2,190,3,3,0,"51,466","71,174",42%,58%,-19708,-0.1606979778
MA3,191,3,3,0,"60,529","61,446",49.6%,50.4%,-917,-0.007517934003
MA4,192,3,3,0,"70,492","58,423",54.7%,45.3%,12069,0.09361982702
MA5,193,4,3,1,"79,810","66,780",54.4%,45.6%,13030,0.08888737294
MA6,194,3,4,-1,"66,095","71,178",48.1%,51.9%,-5083,-0.03702840325
MA7,195,4,3,1,"72,257","54,898",56.8%,43.2%,17359,0.1365184224
MA8,196,4,3,1,"72,929","66,769",52.2%,47.8%,6160,0.04409511947
MA9,197,3,4,-1,"60,581","63,494",48.8%,51.2%,-2913,-0.02347773524
MI1,198,2,4,-2,"28,860","44,217",39.5%,60.5%,-15357,-0.2101481998
MI2,199,2,3,-1,"25,510","39,477",39.3%,60.7%,-13967,-0.2149199071
MI3,200,2,3,-1,"28,307","45,211",38.5%,61.5%,-16904,-0.2299300851
MI4,201,2,3,-1,"24,957","35,625",41.2%,58.8%,-10668,-0.1760919085
MI5,202,4,3,1,"48,374","42,643",53.1%,46.9%,5731,0.06296625905
MI6,203,2,3,-1,"28,162","39,049",41.9%,58.1%,-10887,-0.1619824136
MI7,204,2,3,-1,"28,879","35,899",44.6%,55.4%,-7020,-0.1083701257
MI8,205,2,3,-1,"35,145","46,892",42.8%,57.2%,-11747,-0.1431914868
MI9,206,3,3,0,"48,567","50,897",48.8%,51.2%,-2330,-0.02342556101
MI10,207,2,3,-1,"25,998","30,527",46%,54%,-4529,-0.08012383901
MI11,208,3,3,0,"39,730","45,039",46.9%,53.1%,-5309,-0.06262902712
MI12,209,3,4,-1,"50,158","58,895",46%,54%,-8737,-0.08011700733
MI13,210,6,3,3,"70,235","36,769",65.6%,34.4%,33466,0.3127546634
MI14,211,6,3,3,"88,058","42,417",67.5%,32.5%,45641,0.3498064763
MN1,212,2,3,-1,"5,488","10,896",33.5%,66.5%,-5408,-0.330078125
MN2,213,3,3,0,"8,538","11,913",41.7%,58.3%,-3375,-0.165028605
MN3,214,3,4,-1,"11,154","12,636",46.9%,53.1%,-1482,-0.06229508197
MN4,215,3,4,-1,"14,913","21,141",41.4%,58.6%,-6228,-0.1727408887
MN5,216,3,6,-3,"22,341","41,161",35.2%,64.8%,-18820,-0.2963686183
MN6,217,2,3,-1,"5,321","8,840",37.6%,62.4%,-3519,-0.2484993998
MN7,218,2,3,-1,"4,050","6,955",36.8%,63.2%,-2905,-0.2639709223
MN8,219,2,4,-2,"6,576","12,687",34.1%,65.9%,-6111,-0.3172403052
MS1,220,4,1,3,"33,200","8,707",79.2%,20.8%,24493,0.5844608299
MS2,221,9,0,9,"45,817","5,953",88.5%,11.5%,39864,0.7700212478
MS3,222,5,0,5,"35,162","5,745",86%,14%,29417,0.7191189772
MS4,223,3,1,2,"26,075","7,872",76.8%,23.2%,18203,0.5362182225
