State,stateID,ClintonDelegates,SandersDelegates,DifferenceCount,DifferencePreportion,ClintonVote,SandersVote,DifferenceVote,ClintonPreportion,SandersPreportion,DifferenceVotePreportion
AL,0,44,9,35,0.6603773585,"309,932","76,403",233529,0.8022364011,0.1977635989,0.6044728021
AK,1,3,13,-10,-0.625,100,441,-341,0.1848428835,0.8151571165,-0.6303142329
AZ,2,44,31,13,0.1733333333,"235,664","163,461",72203,0.5904516129,0.4095483871,0.1809032258
AR,3,22,10,12,0.375,"142,798","63,958",78840,0.6906595214,0.3093404786,0.3813190427
CA,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CO,5,28,38,-10,-0.1515151515,"49,789","72,846",-23057,0.405993395,0.594006605,-0.1880132099
CT,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA
DE,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA
FL,8,141,73,68,0.3177570093,"1,101,175","568,634",532541,0.659461651,0.340538349,0.318923302
GA,9,73,29,44,0.431372549,"545,674","215,797",329877,0.7166050972,0.2833949028,0.4332101945
HI,10,7,25,-18,-0.5625,10125,23530,-13405,0.3008468281,0.6991531719,-0.3983063438
ID,11,5,18,-13,-0.5652173913,"5,071","18,654",-13583,0.2137407798,0.7862592202,-0.5725184405
IL,12,78,78,0,0,"715,902","689,411",26491,0.5094253024,0.4905746976,0.01885060481
IN,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA
IA,14,23,21,2,0.04545454545,"69,733","69,452",281,0.5010094479,0.4989905521,0.002018895714
KS,15,9,24,-15,-0.4545454545,"12,593","26,637",-14044,0.3210043334,0.6789956666,-0.3579913332
KY,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LA,17,37,14,23,0.4509803922,"221,616","72,241",149375,0.754162739,0.245837261,0.508325478
ME,18,9,16,-7,-0.28,"1,213","2,207",-994,0.3546783626,0.6453216374,-0.2906432749
MD,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MA,20,46,45,1,0.01098901099,"588,174","573,183",14991,0.5064540878,0.4935459122,0.01290817552
MI,21,63,67,-4,-0.03076923077,"570,940","593,557",-22617,0.4902889402,0.5097110598,-0.01942211959
MN,22,31,46,-15,-0.1948051948,"78,381","126,229",-47848,0.3830751185,0.6169248815,-0.233849763
MS,23,32,4,28,0.7777777778,"140,254","28,277",111977,0.8322148447,0.1677851553,0.6644296895
MO,24,36,35,1,0.01408450704,"310,602","309,071",1531,0.501235329,0.498764671,0.002470657912
MT,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NE,26,10,15,-5,-0.2,"14,343","19,123",-4780,0.4285842347,0.5714157653,-0.1428315305
NV,27,20,15,5,0.1428571429,"6,313","5,672",641,0.5267417605,0.4732582395,0.05348352107
NH,28,9,15,-6,-0.25,"90,322","141,761",-51439,0.3891797331,0.6108202669,-0.2216405338
NJ,29,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NM,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NY,31,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NC,32,60,47,13,0.1214953271,"513,080","387,625",125455,0.5696426688,0.4303573312,0.1392853376
ND,33,0,0,NA,NA,NA,NA,NA,NA,NA,NA
OH,34,81,62,19,0.1328671329,"664,379","500,840",163539,0.5701752203,0.4298247797,0.1403504406
OK,35,17,21,-4,-0.1052631579,"139,343","174,059",-34716,0.4446142654,0.5553857346,-0.1107714692
OR,36,0,0,NA,NA,NA,NA,NA,NA,NA,NA
PA,37,0,0,NA,NA,NA,NA,NA,NA,NA,NA
RI,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SC,39,39,14,25,0.4716981132,"269,060","95,263",173797,0.7385204887,0.2614795113,0.4770409774
SD,40,0,0,NA,NA,NA,NA,NA,NA,NA,NA
TN,41,44,23,21,0.3134328358,"223,577","112,435",111142,0.6653839744,0.3346160256,0.3307679488
TX,42,147,75,72,0.3243243243,"935,373","475,473",459900,0.662987314,0.337012686,0.325974628
UT,43,6,27,-21,-0.6363636364,"15,493","60,666",-45173,0.2034296669,0.7965703331,-0.5931406662
VT,44,,16,-16,-1,"18,333","115,865",-97532,0.1366115739,0.8633884261,-0.7267768521
VA,45,62,33,29,0.3052631579,"503,991","275,943",228048,0.6461969859,0.3538030141,0.2923939718
WA,46,27,74,-47,-0.4653465347,"7,141","19,159",-12018,0.2715209125,0.7284790875,-0.4569581749
WV,47,0,0,NA,NA,NA,NA,NA,NA,NA,NA
WI,48,0,0,NA,NA,NA,NA,NA,NA,NA,NA
WY,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA