statecd,districtID,RepVote,DemVote,Winner,Total
AL1,0,103758,48278,103758,152234
AL2,1,113103,54692,113103,167952
AL3,2,103558,52816,103558,156620
AL4,3,132831,0,132831,134752
AL5,4,115338,0,115338,154974
AL6,5,135945,42291,135945,178449
AL7,6,0,133687,133687,135899
AK0,7,142566,114596,142566,279725
AZ1,8,87723,97391,97391,185114
AZ2,9,109704,109543,109704,219351
AZ3,10,46185,58192,58192,104428
AZ4,11,122560,45179,122560,175179
AZ5,12,124867,54596,124867,179463
AZ6,13,129578,70198,129578,199776
AZ7,14,0,54235,54235,72454
AZ8,15,128710,0,128710,169776
AZ9,16,67841,88609,88609,162062
AR1,17,124139,63555,124139,196256
AR2,18,123073,103477,123073,237330
AR3,19,151630,0,151630,190935
AR4,20,110789,87742,110789,206131
CA1,21,132052,84320,132052,216372
CA2,22,54400,163124,163124,217524
CA3,23,71036,79224,79224,150260
CA4,24,126784,0,126784,211134
CA5,25,0,129613,129613,171148
CA6,26,36448,97008,97008,133456
CA7,27,91066,92521,92521,183587
CA8,28,77480,37056,77480,114536
CA9,29,57729,63475,63475,121204
CA10,30,70582,55123,70582,125705
CA11,31,57160,117502,117502,174662
CA12,32,32197,160067,160067,192264
CA13,33,21940,168491,168491,190431
CA14,34,34757,114389,114389,149146
CA15,35,43148,99756,99756,142904
CA16,36,44943,46277,46277,91220
CA17,37,0,69561,69561,134408
CA18,38,63326,133060,133060,196386
CA19,39,0,85888,85888,127788
CA20,40,0,106034,106034,141044
CA21,41,45907,33470,45907,79377
CA22,42,96053,37289,96053,133342
CA23,43,100317,33726,100317,134043
CA24,44,95566,103228,103228,198794
CA25,45,60847,0,60847,114072
CA26,46,82653,87176,87176,169829
CA27,47,51852,75728,75728,127580
CA28,48,0,91996,91996,120264
CA29,49,17045,50096,50096,67141
CA30,50,45315,86568,86568,131883
CA31,51,48162,51622,51622,99784
CA32,52,34053,50353,50353,84406
CA33,53,74700,108331,108331,183031
CA34,54,0,44697,44697,61621
CA35,55,0,39502,39502,62255
CA36,56,61457,72682,72682,134139
CA37,57,18051,96787,96787,114838
CA38,58,40288,58192,58192,98480
CA39,59,91319,41906,91319,133225
CA40,60,0,30208,30208,49379
CA41,61,35936,46948,46948,82884
CA42,62,74540,38850,74540,113390
CA43,63,28521,69681,69681,98202
CA44,64,0,59670,59670,68862
CA45,65,106083,56819,106083,162902
CA46,66,33577,49738,49738,83315
CA47,67,54309,69091,69091,123400
CA48,68,112082,62713,112082,174795
CA49,69,98161,64981,98161,163142
CA50,70,111997,45302,111997,157299
CA51,71,25577,56373,56373,81950
CA52,72,92746,98826,98826,191572
CA53,73,60940,87104,87104,148044
CO1,74,80682,183281,183281,278491
CO2,75,149645,196300,196300,345945
CO3,76,163011,100364,163011,281141
CO4,77,185292,83727,185292,286507
CO5,78,157182,105673,157182,262855
CO6,79,143467,118847,143467,276440
CO7,80,120918,148225,148225,269143
CT1,81,78520,135686,135686,217696
CT2,82,80842,141851,141851,227750
CT3,83,69223,141197,141197,210420
CT4,84,91928,106791,106791,198719
CT5,85,96625,112550,112550,211123
DE0,86,85146,137251,137251,231617
FL1,87,165086,54976,165086,235343
FL2,88,123262,126096,126096,249780
FL3,89,148691,73910,148691,228809
FL4,90,177887,0,177887,227253
FL5,91,59237,112340,112340,171577
FL6,92,166254,99563,166254,265817
FL7,93,144474,73011,144474,227164
FL8,94,180728,93724,180728,274513
FL9,95,74963,93850,93850,173878
FL10,96,143128,89426,143128,232574
FL11,97,181508,90786,181508,272294
FL12,98,1,0,1,1
FL13,99,168172,0,168172,223576
FL14,100,0,1,1,1
FL15,101,128750,84832,128750,213582
FL16,102,169126,105483,169126,274829
FL17,103,141493,82263,141493,223756
FL18,104,101896,151478,151478,253374
FL19,105,159354,80824,159354,246861
FL20,106,28968,128498,128498,157466
FL21,107,0,153395,153395,153970
FL22,108,90685,125404,125404,216095
FL23,109,61519,103269,103269,164788
FL24,110,15239,129192,129192,149918
FL25,111,1,0,1,1
FL26,112,83031,78306,83031,161337
FL27,113,1,0,1,1
GA1,114,95337,61175,95337,156512
GA2,115,66537,96363,96363,162900
GA3,116,156277,0,156277,156277
GA4,117,0,161211,161211,161211
GA5,118,0,170326,170326,170326
GA6,119,139018,71486,139018,210504
GA7,120,113557,60112,113557,173669
GA8,121,129938,0,129938,129938
GA9,122,146059,34988,146059,181047
GA10,123,130703,65777,130703,196480
GA11,124,161532,0,161532,161532
GA12,125,91336,75478,91336,166814
GA13,126,0,159445,159445,159445
GA14,127,118782,0,118782,118782
HI1,128,86454,93390,93390,179844
HI2,129,33630,142010,142010,180333
ID1,130,143580,77277,143580,220864
ID2,131,131492,82801,131492,214293
IL1,132,59749,162268,162268,222017
IL2,133,43799,160337,160337,204266
IL3,134,64091,116764,116764,180855
IL4,135,22278,79666,79666,101944
IL5,136,56350,116364,116364,184019
IL6,137,160287,78465,160287,238752
IL7,138,27168,155110,155110,182278
IL8,139,66878,84178,84178,151056
IL9,140,72384,141000,141000,213450
IL10,141,95992,91136,95992,187128
IL11,142,81335,93436,93436,174772
IL12,143,110038,87860,110038,209738
IL13,144,123337,86935,123337,210272
IL14,145,145369,76861,145369,222230
IL15,146,166274,55652,166274,221926
IL16,147,153388,63810,153388,217198
IL17,148,88785,110560,110560,199361
IL18,149,184363,62377,184363,246740
IN1,150,51000,86579,86579,142293
IN2,151,85583,55590,85583,145200
IN3,152,97892,39771,97892,148793
IN4,153,94998,47056,94998,142054
IN5,154,105277,49756,105277,161440
IN6,155,102187,45509,102187,155071
IN7,156,46887,61443,61443,112261
IN8,157,103344,61384,103344,171315
IN9,158,101594,55016,101594,163387
IA1,159,147762,141145,147762,289306
IA2,160,129455,143431,143431,273329
IA3,161,148814,119109,148814,282066
IA4,162,169834,105504,169834,275633
KS1,163,138764,65397,138764,204161
KS2,164,128742,87153,128742,225686
KS3,165,134493,89584,134493,224280
KS4,166,138757,69396,138757,208153
KY1,167,173022,63596,173022,236618
KY2,168,156936,69898,156936,226834
KY3,169,87981,157056,157056,247355
KY4,170,150464,71694,150464,222158
KY5,171,171350,47617,171350,218967
KY6,172,147404,98290,147404,245694
LA1,173,189250,46047,189250,244004
LA2,174,0,152201,152201,221570
LA3,175,185867,0,185867,236268
LA4,176,152683,0,152683,207919
LA5,177,168084,67611,168084,239551
LA6,178,165706,89212,165706,258479
ME1,179,94751,186674,186674,308898
ME2,180,133320,118568,133320,283473
MD1,181,176342,73843,176342,250418
MD2,182,70411,120412,120412,196354
MD3,183,87029,128594,128594,215946
MD4,184,54217,134628,134628,191837
MD5,185,80752,144725,144725,226040
MD6,186,91930,94704,94704,190536
MD7,187,55860,144639,144639,206809
MD8,188,87859,136722,136722,225097
MA1,189,0,167612,167612,171110
MA2,190,0,169640,169640,172745
MA3,191,81638,139104,139104,220946
MA4,192,0,184158,184158,188098
MA5,193,0,182100,182100,185260
MA6,194,111989,149638,149638,272219
MA7,195,0,142133,142133,144546
MA8,196,0,200644,200644,203351
MA9,197,114971,140413,140413,255541
MI1,198,130414,113263,130414,250131
MI2,199,135568,70851,135568,213072
MI3,200,125754,84720,125754,217165
MI4,201,123962,85777,123962,219423
MI5,202,69222,148182,148182,222138
MI6,203,116801,84391,116801,208976
MI7,204,119564,92083,119564,223685
MI8,205,132739,102269,132739,243125
MI9,206,81470,136342,136342,225757
MI10,207,157069,67143,157069,228692
MI11,208,140435,101681,140435,251238
MI12,209,64716,134346,134346,206660
MI13,210,27234,132710,132710,166947
MI14,211,41801,165272,165272,212468
MN1,212,103536,122851,122851,226695
MN2,213,137778,95565,137778,245848
MN3,214,167515,101846,167515,269585
MN4,215,79492,147857,147857,241637
MN5,216,56577,167079,167079,236009
MN6,217,133328,90926,133328,236846
MN7,218,109955,130546,130546,240835
MN8,219,125358,129090,129090,266083
MS1,220,102622,43713,102622,151111
MS2,221,0,100688,100688,148646
MS3,222,117771,47744,117771,170946
MS4,223,108776,37869,108776,155576
MO1,224,35273,119315,119315,163494
MO2,225,148191,75384,148191,231117
MO3,226,130940,52021,130940,191620
MO4,227,120014,46464,120014,176286
MO5,228,69071,79256,79256,153635
MO6,229,124616,55157,124616,186970
MO7,230,104054,47282,104054,163957
MO8,231,106124,38721,106124,159224
MT0,232,203871,148690,203871,367963
NE1,233,123219,55838,123219,179057
NE2,234,78157,83872,83872,171050
NE3,235,139440,45524,139440,184964
NV1,236,30413,45643,45643,80299
NV2,237,122402,52016,122402,186210
NV3,238,88528,52644,88528,145719
NV4,239,63466,59844,63466,130781
NH1,240,125508,116769,125508,242736
NH2,241,106857,130679,130679,238149
NJ1,242,64073,93315,93315,162492
NJ2,243,108875,66026,108875,177148
NJ3,244,100471,82537,100471,186103
NJ4,245,118826,54415,118826,174849
NJ5,246,104678,81808,104678,188921
NJ6,247,46891,72190,72190,120457
NJ7,248,104287,68232,104287,175997
NJ8,249,15141,61510,61510,79518
NJ9,250,36246,82498,82498,120459
NJ10,251,14154,95734,95734,112123
NJ11,252,109455,65477,109455,174932
NJ12,253,54168,90430,90430,148366
NM1,254,74558,105474,105474,180032
NM2,255,95209,52499,95209,147777
NM3,256,70775,113249,113249,184076
NY1,257,94035,78722,94035,172865
NY2,258,95177,41814,95177,139330
NY3,259,74269,90032,90032,164375
NY4,260,80127,89793,89793,170099
NY5,261,0,72454,72454,89905
NY6,262,0,55368,55368,55963
NY7,263,5713,56593,56593,63812
NY8,264,0,77255,77255,83999
NY9,265,0,82659,82659,92569
NY10,266,0,89080,89080,101881
NY11,267,58886,45244,58886,107363
NY12,268,22731,90603,90603,113429
NY13,269,0,68396,68396,78353
NY14,270,0,50352,50352,57204
NY15,271,0,51665,51665,57503
NY16,272,0,99658,99658,100391
NY17,273,75781,98158,98158,174062
NY18,274,85660,88993,88993,179091
NY19,275,131594,72470,131594,204173
NY20,276,79104,125111,125111,204329
NY21,277,96226,59063,96226,174668
NY22,278,129851,0,129851,131932
NY23,279,113130,70242,113130,183481
NY24,280,118474,80304,118474,199222
NY25,281,95932,96803,96803,192971
NY26,282,52909,113210,113210,166124
NY27,283,144675,58911,144675,203645
NC1,284,55990,154333,154333,210323
NC2,285,122128,85479,122128,207607
NC3,286,139415,66182,139415,205597
NC4,287,57416,169946,169946,227362
NC5,288,139279,88973,139279,228252
NC6,289,147312,103758,147312,251070
NC7,290,134431,84054,134431,226504
NC8,291,121568,65854,121568,187422
NC9,292,163080,0,163080,173668
NC10,293,133504,85292,133504,218796
NC11,294,144682,85342,144682,230024
NC12,295,42568,130096,130096,172664
NC13,296,153991,114718,153991,268709
ND0,297,138100,95678,138100,248670
OH1,298,124779,72604,124779,197383
OH2,299,132658,68453,132658,201111
OH3,300,51475,91769,91769,143261
OH4,301,125907,60165,125907,186072
OH5,302,134449,58507,134449,202300
OH6,303,111026,73561,111026,190652
OH7,304,143959,0,143959,143959
OH8,305,126539,51534,126539,188330
OH9,306,51704,108870,108870,160715
OH10,307,130752,63249,130752,200606
OH11,308,35461,137105,137105,172566
OH12,309,150573,61360,150573,221081
OH13,310,55233,120230,120230,175463
OH14,311,135736,70856,135736,214580
OH15,312,128496,66125,128496,194621
OH16,313,132176,75199,132176,207375
OK1,314,1,0,1,1
OK2,315,110925,38964,110925,158407
OK3,316,133335,36270,133335,169605
OK4,317,117721,40998,117721,166268
OK5,318,95632,57790,95632,159133
OR1,319,96245,160038,160038,279253
OR2,320,202374,73785,202374,287425
OR3,321,57424,211748,211748,292757
OR4,322,116534,181624,181624,310179
OR5,323,110332,150944,150944,281088
PA1,324,27193,131248,131248,158441
PA2,325,25397,181141,181141,206538
PA3,326,113859,73931,113859,187790
PA4,327,147090,50250,147090,197340
PA5,328,115018,65839,115018,180857
PA6,329,119643,92901,119643,212544
PA7,330,145869,89256,145869,235125
PA8,331,137731,84767,137731,222498
PA9,332,110094,63223,110094,173317
PA10,333,112851,44737,112851,180322
PA11,334,122464,62228,122464,184692
PA12,335,127993,87928,127993,215921
PA13,336,60549,123601,123601,184150
PA14,337,0,148351,148351,148351
PA15,338,128285,0,128285,128285
PA16,339,101722,74513,101722,176235
PA17,340,71371,93680,93680,165051
PA18,341,166076,0,166076,166076
RI1,342,58877,87060,87060,146353
RI2,343,63844,105716,105716,169904
SC1,344,119392,0,119392,127815
SC2,345,121649,68719,121649,194808
SC3,346,116741,47181,116741,164009
SC4,347,126452,0,126452,149049
SC5,348,103078,71985,103078,175145
SC6,349,44311,125747,125747,173432
SC7,350,102833,68576,102833,171524
SD0,351,183834,92485,183834,276319
TN1,352,115533,0,115533,139470
TN2,353,120883,37612,120883,166751
TN3,354,97344,53983,97344,156097
TN4,355,84815,51357,84815,145418
TN5,356,55078,96148,96148,154276
TN6,357,115231,37232,115231,162097
TN7,358,110534,42280,110534,157907
TN8,359,122255,42433,122255,172595
TN9,360,27173,87376,87376,116550
TX1,361,115084,33476,115084,148560
TX2,362,101936,44462,101936,150026
TX3,363,113404,0,113404,138280
TX4,364,115085,0,115085,115085
TX5,365,88998,0,88998,104262
TX6,366,92334,55027,92334,150996
TX7,367,90606,49478,90606,143219
TX8,368,125066,0,125066,140013
TX9,369,0,78109,78109,86003
TX10,370,109726,60243,109726,176460
TX11,371,107939,0,107939,119574
TX12,372,113186,41757,113186,158730
TX13,373,110842,16822,110842,131451
TX14,374,90116,52545,90116,145698
TX15,375,39016,48708,48708,90184
TX16,376,21324,49338,49338,73105
TX17,377,85807,43049,85807,132865
TX18,378,26249,76097,76097,106010
TX19,379,89326,21325,89326,115825
TX20,380,0,66554,66554,87964
TX21,381,135660,0,135660,188996
TX22,382,100861,47844,100861,151566
TX23,383,57459,55037,57459,115429
TX24,384,93712,46548,93712,144073
TX25,385,107120,64463,107120,177883
TX26,386,116944,0,116944,141470
TX27,387,83342,44152,83342,131047
TX28,388,0,62508,62508,76136
TX29,389,0,41321,41321,46143
TX30,390,0,93041,93041,105793
TX31,391,91607,45715,91607,143028
TX32,392,96495,55325,96495,156096
TX33,393,0,43769,43769,50592
TX34,394,30811,47503,47503,79877
TX35,395,32040,60124,60124,96225
TX36,396,101663,29543,101663,133842
UT1,397,84231,36422,84231,130341
UT2,398,88915,47585,88915,144695
UT3,399,102952,32059,102952,142580
UT4,400,74936,67425,74936,147168
VT0,401,59432,123349,123349,191504
VA1,402,131861,72059,131861,209621
VA2,403,101558,71178,101558,173060
VA3,404,0,139197,139197,147402
VA4,405,120684,75270,120684,200638
VA5,406,124735,73482,124735,204945
VA6,407,133898,0,133898,179708
VA7,408,148026,89914,148026,243351
VA8,409,63810,128102,128102,203076
VA9,410,117465,0,117465,162815
VA10,411,125914,89957,125914,222910
VA11,412,75796,106780,106780,187805
WA1,413,101428,124151,124151,225579
WA2,414,79518,122173,122173,201691
WA3,415,124796,78018,124796,202814
WA4,416,77772,0,77772,153079
WA5,417,135470,87772,135470,223242
WA6,418,83025,141265,141265,224290
WA7,419,47921,203954,203954,251875
WA8,420,125741,73003,125741,198744
WA9,421,48662,118132,118132,166794
WA10,422,82213,99279,99279,181492
WV1,423,91843,51842,91843,143685
WV2,424,72042,67210,72042,153092
WV3,425,77263,62418,77263,139681
WI1,426,182316,105552,182316,288170
WI2,427,103619,224920,224920,328847
WI3,428,119540,155368,155368,275161
WI4,429,68490,179045,179045,254892
WI5,430,231160,101190,231160,332826
WI6,431,169767,122212,169767,299033
WI7,432,169891,112949,169891,286603
WI8,433,188553,101345,188553,290048
WY0,434,113038,37803,113038,165100